comment_score,pos_percent,neg_percent
26,0.287434419884751,0.8375763309538145
29,0.2855180833206165,0.8464316597995829
2927,0.0,1.0
-91,0.44594594594594594,0.7297297297297297
3091,0.5,1.0
1677,0.6,0.6
474,0.35365853658536583,0.7926829268292683
2040,0.0,1.0
964,0.3333333333333333,0.9444444444444444
2509,0.0,1.0
5556,0.0,1.0
-251,0.5,0.5
2250,0.3333333333333333,1.0
-250,0.5,0.5
1806,0.2,1.0
1697,0.0,1.0
-279,1.0,0.0
2453,0.0,0.5
19979,1.0,1.0
10871,0.0,0.0
1950,0.5,1.0
2529,0.0,1.0
8484,0.0,1.0
65,0.2817491489918827,0.845247446975648
1258,0.2222222222222222,0.8888888888888888
191,0.30417495029821073,0.8429423459244533
1010,0.23076923076923078,0.8461538461538461
541,0.3076923076923077,0.8846153846153846
1224,0.1,0.9
418,0.23157894736842105,0.8105263157894737
2173,0.2,1.0
558,0.2653061224489796,0.8367346938775511
1840,0.375,1.0
3280,0.3333333333333333,1.0
1360,0.1111111111111111,1.0
1277,0.08333333333333333,0.9166666666666666
3061,0.3333333333333333,1.0
2906,0.0,1.0
3391,0.5,1.0
3806,0.0,0.6666666666666666
3800,0.0,1.0
2812,1.0,0.5
3009,0.0,1.0
3106,1.0,1.0
270,0.25,0.876984126984127
-109,0.4444444444444444,0.6888888888888889
222,0.24929971988795518,0.834733893557423
-58,0.4,0.7540983606557377
293,0.2465753424657534,0.8356164383561644
1145,0.09090909090909091,0.9090909090909091
938,0.2,1.0
730,0.2727272727272727,0.7575757575757576
1551,0.5,0.875
1642,0.0,1.0
1127,0.15,0.75
1409,0.5,0.8333333333333334
9632,1.0,1.0
2570,0.0,1.0
2184,0.0,0.5
1371,0.3333333333333333,0.8888888888888888
6675,0.0,0.5
2581,0.0,0.0
3937,0.0,1.0
2517,0.5,1.0
3327,0.0,1.0
8872,0.0,0.0
367,0.2482758620689655,0.8206896551724138
278,0.2734375,0.84375
2030,0.6,1.0
243,0.3140794223826715,0.8736462093862816
442,0.2840909090909091,0.8295454545454546
1532,0.36363636363636365,0.9090909090909091
705,0.2702702702702703,0.8918918918918919
6885,0.0,1.0
1175,0.375,0.75
720,0.3333333333333333,0.9090909090909091
-302,0.0,1.0
3452,0.0,1.0
1202,0.4,0.9
6129,0.0,1.0
2598,0.6,0.6
1463,0.3333333333333333,0.7777777777777778
1690,0.5,0.8333333333333334
1919,0.0,1.0
4519,0.0,1.0
2371,0.0,1.0
10205,0.0,1.0
7303,0.0,1.0
2944,0.0,1.0
5850,0.0,1.0
-261,0.0,0.0
1936,0.6666666666666666,1.0
4072,0.0,1.0
6287,0.0,1.0
12472,0.0,1.0
19,0.2883162407332844,0.839487458847493
54,0.28169780518773807,0.8434609105750045
-159,0.4666666666666667,0.6666666666666666
296,0.26956521739130435,0.8608695652173913
2857,0.3333333333333333,1.0
965,0.3,0.85
1447,0.0,0.7777777777777778
1951,0.2857142857142857,1.0
1671,0.6666666666666666,0.8333333333333334
926,0.21428571428571427,0.8571428571428571
1280,0.4,0.8
3081,0.0,1.0
1217,0.18181818181818182,0.7272727272727273
1537,0.5,1.0
11574,0.0,0.0
2551,0.25,0.75
1782,0.0,1.0
4082,0.0,1.0
4929,1.0,1.0
4552,0.0,1.0
4256,0.0,1.0
6362,0.0,1.0
6297,0.0,1.0
7233,1.0,1.0
3069,0.0,1.0
0,0.33451984714003946,0.7832399971823049
287,0.25,0.8922413793103449
415,0.26373626373626374,0.8901098901098901
847,0.25,0.85
348,0.2907801418439716,0.8652482269503546
277,0.23949579831932774,0.8445378151260504
-193,0.25,0.5
1077,0.4,0.8666666666666667
1336,0.3333333333333333,0.9166666666666666
2486,0.0,1.0
6361,0.5,1.0
1594,0.0,1.0
2940,1.0,0.5
2157,0.0,1.0
3640,0.0,1.0
1958,1.0,1.0
-343,1.0,1.0
3252,0.0,1.0
8493,1.0,1.0
502,0.3108108108108108,0.9054054054054054
656,0.12903225806451613,0.8387096774193549
3296,0.5,0.5
6322,1.0,1.0
1055,0.2,0.8
4108,0.5,1.0
2244,0.5,0.75
1921,0.3333333333333333,0.8333333333333334
2900,0.0,0.5
4113,0.0,1.0
5126,0.0,1.0
1480,0.0,0.8333333333333334
2881,0.0,0.6666666666666666
7637,0.0,1.0
3869,0.0,1.0
4872,0.0,1.0
2583,1.0,0.0
2088,0.0,1.0
7234,0.0,1.0
3302,0.0,1.0
1599,0.0,1.0
-3,0.35617316942811333,0.7661321931231071
167,0.30269413629160064,0.8763866877971473
155,0.2651162790697674,0.8558139534883721
113,0.26712856043110084,0.8706697459584296
385,0.2711864406779661,0.8728813559322034
-30,0.38793613246599645,0.7510348905972797
-118,0.4318181818181818,0.5681818181818182
112,0.28272656855151046,0.8659953524399691
299,0.29411764705882354,0.8529411764705882
831,0.2631578947368421,0.8947368421052632
-135,0.2916666666666667,0.4583333333333333
1042,0.3076923076923077,0.8461538461538461
3324,0.0,1.0
736,0.1875,0.90625
1738,0.3333333333333333,1.0
2175,0.25,1.0
1882,0.5,1.0
7555,0.0,1.0
2403,1.0,1.0
7139,0.0,1.0
2364,0.0,1.0
4131,0.5,1.0
7010,0.0,0.0
2400,0.0,1.0
5579,0.0,1.0
2878,0.0,1.0
-35,0.3872,0.7328
241,0.25796178343949044,0.8312101910828026
347,0.2713178294573643,0.8604651162790697
237,0.2620481927710843,0.8614457831325302
564,0.24561403508771928,0.8421052631578947
588,0.21428571428571427,0.9523809523809523
1636,0.2857142857142857,0.5714285714285714
857,0.47619047619047616,0.8095238095238095
6479,0.0,1.0
5304,0.0,1.0
2660,0.0,1.0
602,0.30434782608695654,0.782608695652174
2341,1.0,1.0
1547,0.3333333333333333,1.0
1497,0.16666666666666666,1.0
4220,0.0,1.0
1740,0.2,1.0
1983,0.0,1.0
