which_date,pos_percent,neg_percent
2017-12-05,0.3333333333333333,0.6666666666666666
2018-12-31,0.0,1.0
2017-03-08,0.42857142857142855,0.8571428571428571
2017-09-26,0.5,1.0
2017-10-01,0.25,0.75
2017-12-08,0.5714285714285714,0.8571428571428571
2017-09-15,0.0,1.0
2017-10-05,0.2,0.6
2017-05-04,0.4,0.6
2017-11-01,0.0,0.0
2017-02-08,0.375,1.0
2017-09-28,0.4,1.0
2017-09-27,0.0,1.0
2017-12-01,0.25,1.0
2017-08-31,0.2,0.8
2017-12-27,0.3333333333333333,1.0
2017-03-09,0.3125,0.625
2017-05-05,0.5,0.5
2017-12-29,0.0,1.0
2018-02-02,0.3333333333333333,1.0
2018-02-07,0.3333333333333333,1.0
2016-12-14,0.0,1.0
2018-01-01,0.375,0.75
2017-06-07,0.3333333333333333,1.0
2017-10-30,0.0,1.0
2017-07-29,0.6666666666666666,1.0
2017-04-07,0.4,0.8
2018-02-17,0.5714285714285714,0.42857142857142855
2017-07-30,0.14285714285714285,1.0
2016-12-09,0.3333333333333333,0.7222222222222222
2017-07-06,0.0,0.6666666666666666
2018-02-06,0.0,1.0
2017-06-03,0.2222222222222222,0.8888888888888888
2017-01-06,0.3333333333333333,0.8333333333333334
2018-03-05,0.25,0.75
2017-01-09,0.0,1.0
2016-12-15,0.25,0.875
2018-02-09,0.4,1.0
2017-03-07,0.2857142857142857,0.9285714285714286
2017-12-10,0.5,1.0
2017-02-04,0.3333333333333333,0.9166666666666666
2017-12-09,0.5,1.0
2018-02-16,1.0,1.0
2017-08-27,0.5,1.0
2017-05-10,0.0,1.0
2017-05-31,0.25,0.875
2017-01-02,0.2857142857142857,0.7142857142857143
2017-04-09,0.4444444444444444,0.7777777777777778
2017-08-26,0.3333333333333333,0.5555555555555556
2017-05-08,0.4,0.8
2018-02-05,0.125,0.875
2018-03-03,0.1111111111111111,0.7777777777777778
2017-11-09,0.4,0.8
2017-07-02,0.3333333333333333,1.0
2018-01-04,0.0,1.0
2017-11-08,0.0,1.0
2018-02-18,0.2,1.0
2017-03-05,0.8,0.6
2017-04-10,0.0,0.8333333333333334
2017-03-04,0.2727272727272727,0.9090909090909091
2018-02-22,0.5555555555555556,0.6666666666666666
2017-09-01,0.4,1.0
2017-06-04,0.125,0.875
2017-07-04,0.2,0.9
2017-08-04,0.4,0.5
2017-11-10,0.3333333333333333,1.0
2017-04-04,0.0,0.6666666666666666
2018-01-02,0.3,1.0
2017-10-04,0.4,0.6
2017-03-10,0.42857142857142855,0.8571428571428571
2017-06-06,0.0,0.7777777777777778
2017-01-03,0.5,0.75
2017-07-03,0.4444444444444444,1.0
2017-07-12,0.2857142857142857,0.8571428571428571
2017-08-25,0.25,1.0
2017-11-04,0.375,0.625
2017-08-06,0.0,0.0
2018-02-03,0.3333333333333333,1.0
2017-02-07,0.125,0.625
2017-02-01,0.1,0.9
2018-02-10,0.0,1.0
2018-03-06,1.0,1.0
2017-04-06,0.5,0.5
2016-12-12,0.75,0.5
2016-12-07,0.36363636363636365,0.7272727272727273
2018-02-12,0.5,0.5
2017-03-11,0.0,1.0
2017-01-04,0.375,0.75
2017-05-09,0.0,0.6666666666666666
2017-03-02,0.16666666666666666,0.8333333333333334
2017-01-29,0.2,1.0
2018-02-01,0.2222222222222222,1.0
2017-07-08,0.16666666666666666,0.8333333333333334
2017-02-03,0.16666666666666666,0.6666666666666666
2017-12-13,0.0,1.0
2017-09-29,0.3333333333333333,1.0
2017-05-30,0.2,0.6
2017-01-08,0.6666666666666666,0.5
2017-04-08,0.0,0.8
2017-10-03,0.0,1.0
2018-02-19,0.375,0.875
2017-02-05,0.625,0.375
2017-07-09,1.0,1.0
2017-01-30,0.1111111111111111,0.8888888888888888
2017-08-05,0.0,0.5714285714285714
2017-02-06,0.25,0.75
2017-01-05,0.2222222222222222,0.8888888888888888
2017-11-05,0.4,0.9
2017-07-31,0.2857142857142857,0.5714285714285714
2017-01-11,0.0,1.0
2017-05-01,0.0,1.0
2017-06-08,0.5,1.0
2017-07-28,0.2,0.8
2017-08-29,0.14285714285714285,0.7142857142857143
2017-12-25,0.3333333333333333,0.6666666666666666
2017-05-06,0.0,1.0
2017-09-25,1.0,1.0
2017-01-07,0.3,0.9
2016-12-11,0.5555555555555556,0.5555555555555556
2017-11-07,0.0,0.5
2017-06-01,0.0,0.0
2016-12-10,0.42857142857142855,0.9285714285714286
2017-12-04,0.0,0.5
2017-09-30,0.5,0.8333333333333334
2018-02-11,0.2,1.0
2017-10-02,0.3333333333333333,0.6666666666666666
2017-09-02,0.14285714285714285,0.42857142857142855
2017-12-30,0.0,1.0
2018-01-31,0.0,1.0
2017-02-02,0.25,0.5
2017-08-30,0.3333333333333333,0.6666666666666666
2017-12-26,0.4,1.0
2018-03-02,0.3333333333333333,0.8333333333333334
2018-02-21,0.2727272727272727,0.9090909090909091
2017-12-28,0.375,0.875
2017-06-02,0.3333333333333333,1.0
2017-11-02,0.2857142857142857,1.0
2017-12-06,0.2,0.8
2017-07-27,0.5714285714285714,0.8571428571428571
2017-08-28,0.0,1.0
2017-07-05,0.0,1.0
2018-01-03,0.5,1.0
2018-02-20,0.0,1.0
2017-05-03,0.75,1.0
2017-12-07,0.4,0.8
2017-11-03,0.0,1.0
2017-07-07,0.0,1.0
2017-12-12,0.0,1.0
2018-03-04,0.2857142857142857,0.8571428571428571
2017-05-02,0.0,1.0
2017-04-11,0.0,0.75
2017-01-31,0.5,1.0
2017-11-30,0.2,0.8
2017-07-25,0.25,1.0
2017-04-02,0.2222222222222222,0.8888888888888888
2017-07-11,0.3333333333333333,1.0
2017-11-29,0.0,1.0
